Averege_Solar,Averege_Humidity,Site_Temperature_Celsius,Crop_Yield_Grain,Crop_Species_Common_Name,Crop_Growing_Season_Year_First,Crop_Growing_Season_Year_Last,Site_Precipitation_mm,Site_Soil_Texture_Name,Site_Soil_pH,Site_Soil_Classification_Name,Site_Soil_Depth_Variable_m,Site_Longitude,Site_Latitude,pH
3965.220803066586,90.02440191817611,6.9,1.81,Garden pea,2001,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,0.85,Garden pea,2002,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.36,Garden pea,2003,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,2.02,Garden pea,2001,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,0.99,Garden pea,2002,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.61,Garden pea,2003,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.66,Garden pea,2001,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,0.76,Garden pea,2002,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.21,Garden pea,2003,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.85,Garden pea,2001,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,0.92,Garden pea,2002,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.35,Garden pea,2003,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,2.03,Garden pea,2002,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.13,Garden pea,2003,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.56,Garden pea,2004,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.88,Garden pea,2002,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.21,Garden pea,2003,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.7,Garden pea,2004,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.41,Lentil,2001,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.15,Lentil,2002,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.53,Lentil,2003,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.42,Lentil,2001,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.19,Lentil,2002,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.29,Lentil,2003,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.38,Lentil,2001,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.04,Lentil,2002,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.23,Lentil,2003,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.3,Lentil,2001,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,0.85,Lentil,2002,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.03,Lentil,2003,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.15,Lentil,2002,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,0.74,Lentil,2003,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.09,Lentil,2004,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.4,Lentil,2002,2002,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,0.66,Lentil,2003,2003,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
3965.220803066586,90.02440191817611,6.9,1.15,Lentil,2004,2004,357.0,Loam,,Typic Calciboroll (Judith series),,-109.57,47.03,6.6
4305.383600271567,89.36356155883226,6.0,1.49,Garden pea,2001,2002,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,1.61,Garden pea,2002,2003,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,1.6,Garden pea,2001,2002,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,1.86,Garden pea,2002,2003,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,1.55,Garden pea,2001,2002,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,1.12,Garden pea,2002,2003,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,1.7,Garden pea,2001,2002,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,0.56,Garden pea,2002,2003,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,2.18,Garden pea,2002,2002,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,1.94,Garden pea,2003,2003,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,2.03,Garden pea,2002,2002,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,2.23,Garden pea,2003,2003,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,0.85,Lentil,2001,2002,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,1.44,Lentil,2002,2003,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,0.98,Lentil,2001,2002,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,1.42,Lentil,2002,2003,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,0.92,Lentil,2001,2002,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,0.58,Lentil,2002,2003,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
4305.383600271567,89.36356155883226,6.0,0.85,Lentil,2001,2002,349.0,Silt,,Typic Haploboroll (Amsterdam series),,-111.26,45.44,-9999.0
